raw_line,product_id,quantity
1	standfester	Wasserbehälter,0,0
1	„Schlampermäppchen“	mit,0,0
1 Anspitzer,1018,1
1 Anspitzer mit Auffangbehälter,0,0
"1 Anspitzer mit Dose (doppelt, für dünne und dicke Stifte)",1018,1
1 Arbeitsblock mit Kontrastlineatur 2 (liniert,1035,1
1 Bastelschere mit Spitze,1020,1
1 Blanko-Block DIN A 4 (bitte gelocht!),1056,1
1 Blauer Umschlag,1021,1
1 Block A 4 kariert,1013,1
1 Block A4 liniert,1002,1
1 Collegeblock Lin 27,1044,1
1 Collegeblock Lin 28,1002,1
"1 DIN A4-Ordner (mit 2 Ringen) zum Verbleib zuhause, mit buntem Register (5- oder 6-teilig)",0,0
1 Deckfarbenkasten guter Qualität mit 12 Farben (Pelikan),0,0
"1 Dosenspitzer für dicke und dünne S4,e",0,0
1 Farbkasten,0,0
1 Farbkasten mit 12 Deckfarben und Deckweiß (bitte säubern und auﬀüllen),0,0
1 Fineliner schwarz,1054,1
"1 Foliens4, (non-permanent)",0,0
1 Folienstift schwarz (wasserlöslich),1054,1
1 Geodreieck,1011,1
1 Heft Nr. 25,1042,1
1 Heft Nr. 28,1045,1
1 Kieserblock (Lineatur 2),1002,1
1 Klarsichtfolie,0,0
1 Klebestift,0,0
"1 Klebestift (z.B. Pritt, Tesa) (Kein Flüssigkleber!)",0,0
1 Kopfhörer (mit Bügel / Over-Ear),0,0
1 Lappen,0,0
1 Lineal,1019,1
"1 Lineal (ca. 16 cm lang, nicht biegsam)",1038,1
1 Lineal (ca. 16cm),1036,1
1 Lineal 60°-30° Winkel,1038,1
"1 Lineal, circa 15-20 cm",1036,1
1 Malblock DIN A 3,1032,1
1 Malblock DIN A4,1001,1
"1 Malblock, DIN A 4",1032,1
1 Malki%el (oder altes T-Shirt/Hemd),0,0
1 Malkittel (altes Hemd o.Ä.),0,0
"1 Malkittel (altes T-Shirt, altes Hemd)",0,0
1 Malkittel (z.B. altes Oberhemd / großes T-Shirt),0,0
1 Marken-Deckfarbenkasten (12 Farben),0,0
"1 Ordner, DIN A 4 (dick) mit 6-teiligem Farbregister",0,0
1 Paar Hausschuhe,0,0
1 Paar Kopbörer mit Klinkenstecker,1037,1
1 Paar dicke Socken (für die Bücherei),0,0
1 Paket Buntstifte (10 – 12 Farben),1005,1
1 Perspekticeck,0,0
1 Postmappe (möglichst gelb),1053,1
"1 Postmappe mit Gummizug, DIN A4",0,0
1 Putzlappen (zum Trocknen des Wasserbehälters und der Pinsel),0,0
1 Radiergummi,1006,1
"1 Rechenhe, mit Lineatur 7 DIN A4 - Ersatzhe,",1042,1
"1 Rechenhe, mit Lineatur 7 DIN A4 blau Mathehe,",1023,1
"1 Rechenheft DIN A 5, Nr. 7",1040,1
1 Sammelmappe DIN A 3,0,0
1 Sammelmappe DIN A3,0,0
1 Sammelmappe DIN A3 für Bilder,0,0
"1 Sammelmappe DIN A3, darin:",0,0
1 Sammelmappe/Eckspanner DIN A4 - Postmappe,0,0
1 Schere,0,0
"1 Schnellhe,er DIN A 4 blau Mathe",1023,1
"1 Schnellhe,er DIN A 4 grün Sachunterricht",1022,1
"1 Schnellhe,er DIN A 4 rot Deutsch",1021,1
"1 Schnellhe,er DIN A 4 schwarz Religion/Ethik",1054,1
"1 Schnellhe,er DIN A 4 weiß Musik",1024,1
1 Schnellhefter braun,1015,1
1 Schnellhefter gelb,1015,1
1 Schnellhefter grau,1015,1
1 Schnellhefter grün,1017,1
1 Schnellhefter schwarz,1054,1
"1 Schreibhe, mit Kontrastlineatur 2 DIN A4 - Ersatzhe,",1042,1
"1 Schreibhe, mit Kontrastlineatur 2 DIN A4 gelb Hausaufgaben- und",1042,1
"1 Schreibhe, mit Kontrastlineatur 2 DIN A4 rot Deutschhe,",1021,1
"1 Schreibheft DIN A 5, quer, Lineatur 0",1033,1
1 Schuhkarton,1013,1
"1 Schuhkarton o.ä. (alle Materialien sollten hineinpassen, nicht zu groß), darin:",1059,1
1 Schulfüller,0,0
1 Spitzer mit Auﬀangdose,0,0
1 Stehordner und 1 Ablagefach (verbleiben vom Vorjahr in der Schule),0,0
1 Textmarker (gelb),1053,1
1 Textmarker (z. B. gelb),1053,1
1 Tuschkasten mit 12 Deckfarben und 1-2 Tuben Deckweiß,1009,1
1 Umschlag braun,1021,1
1 Umschlag grün DIN A4,1022,1
1 Umschlag schwarz DIN A4,1021,1
"1 Umschlagfarbe, Heftfarbe, etc.",0,0
1 Vokabelheft Din A5,1003,1
1 Wasserbecher,0,0
1 Wasserbehälter,0,0
1 Wasserbehälter mit Deckel,0,0
1 Zeichenblock DIN A 3,1014,1
1 Zeichenblock DIN A3,1014,1
1 Zeichenblock DIN A4,1021,1
1 Zeichenplatte DIN A4,1024,1
"1 Zirkel, 1 Geodreieck, 1 langes Lineal, 1 Druckbleistift",1038,1
1 blau (Mathematik) mit Klarsichthülle darin,1015,1
"1 dicker Schreiblernstift (z.B. Triplus, Lamy)",0,0
1 gelb (Musik) mit Klarsichthülle darin,1053,1
1 gelber Umschlag,1021,1
1 großes Lineal,1019,1
1 grün (Sachunterricht) mit Klarsichthülle darin,1017,1
1 grüner Umschlag (Beschriftung: Mathe),0,0
1 gute Bastelschere,1020,1
1 harter Bleistift (H oder HB),1004,1
1 hellblauer und 1 dunkelblauer Umschlag DIN A4,1061,1
1 kar. Collegeblock DIN A4,1013,1
1 kar. Collegeblock DIN A4 mit Doppelrand,1045,1
1 kariertes Heft DIN A4 mit Doppelrand,1045,1
1 kleiner Lappen oder Schwamm,0,0
1 kleiner Schwamm,0,0
"1 kleines Lineal, 15 cm",1038,1
1 lila (Religion) mit Klarsichthülle darin,1055,1
1 lin. Collegeblock DIN A4,1002,1
1 lin. Collegeblock DIN A4 mit Doppelrand,1044,1
1 rot (Deutsch) mit Klarsichthülle darin,1021,1
1 roter Schnellhefter,1015,1
1 roter Umschlag,1021,1
1 roter Umschlag (Beschriftung: Geschichtenheft),0,0
"1 schmaler Freiarbeits-Ordner mit Register und karierten und linierten Seiten, Farbe beliebig (nicht",0,0
"1 wasserlöslicher, dünner Folienstift",0,0
1 weicher Bleistift (z.B. 2B,0,0
1 x Eckspannmappe DIN A4 gelb(als Postmappe),1053,1
1 x Eckspannmappe DIN A4 rot (Hausaufgabenmappe),1049,1
"1 x Kopfhörer, die in der Schule bleiben können (für das IPad)",0,0
1 x Malblock DIN A4 (unliniert) nicht gelocht,1044,1
1 x Set mit bunten Knete Stangen,0,0
1 x blau für Mathe,1015,1
1 x braun für Geschichte,0,0
1 x gelb für Englisch,1053,1
1 x grün für Biologie,1017,1
1 x hellblau für Erdkunde,1060,1
1 x orange für Werte und Normen,0,0
1 x rot für Deutsch,1016,1
1 x schwarz für Physik,1054,1
1 x violett für Chemie,0,0
1 x weiß für Musik,1046,1
10-12	Wachsmalstifte,0,0
"10-12 Holzbunts4,e",0,0
12 Buntstifte,1005,12
15 € Kochgeld,0,0
"1Schreibheft DIN A 5, Lineatur 2",1044,1
"1x	Blankoheft	(ohne	Linien,	DinA5)",1034,1
1x	DIN	A3	Sammelmappe,0,0
1x	Hausschuhe,0,0
1x	Klebestift	(bitte	keine	bunten	Klebestifte	kaufen	und	keinen	Flüssigkleber),0,0
"1x	Malblock,	DIN	A	4	(einfache	Qualität)",0,0
1x	Radiergummi,1006,1
"1x	Rechenheft	(DinA5,	Lineatur	R,	große	Kästchen)",1034,1
1x	Schere	(Achtung:	Extrascheren	bei	Linkshänder),1034,1
1x	Schnellhefter	„Deutsch“	(rot),1016,1
1x	Schnellhefter	„Lernstandsanalysen“	(orange),0,0
1x	Schnellhefter	„Mathematik“	(blau),1015,1
1x	Schnellhefter	„Musik“	(gelb),1015,1
1x	Schnellhefter	„Religion“	(weiß),1046,1
1x	Schnellhefter	„Sachunterricht“	(grün),1017,1
"1x	Schreibheft	(DinA4,	Lineatur	1)",0,0
"1x	Schreibheft	(DinA5,	Lineatur	0)",1033,1
"1x	Schreiblernheft	(DinA4,	quer,	Lineatur	SL)",1002,1
1x	Spitzer	mit	Auffangbehälter,0,0
1x	Wechselkleidung,0,0
"1x	Zahlenlernheft	(DinA4,	quer,	Lineatur	ZL)",1002,1
"1x	Zeichenblock,	DIN	A	4",1014,1
1x	gelbe	„Postmappe“	(Eckspanner),1053,1
1x DIN A3 Zeichenblock,1014,1
"1x DIN A4 Rechenheft, ohne Rand,",1001,1
"1x DIN A4 Schreibheft, Lineatur 1 (mit farbigen",0,0
1x DIN A4 Umschlag blau,1023,1
1x DIN A4 roter Umschlag,1021,1
1x DIN A5 Schreibheft mit Lineatur (Mitteilungsheft),1035,1
1x Packung Post-It Streifen,0,0
1x Sammelmappe DIN A3 (für Kunstbilder),0,0
1x Schreiblernheft Lineatur SL (farbige Kontrastlineatur),1034,1
1x Stehordner,0,0
1x Vokabelheft,1003,1
"1x blau (Mathe),",1008,1
1x blauer Schnellhefter,1015,1
1x durchsichtiger Umschlag,0,0
"1x grün (Sachunterricht),",0,0
1x grüner DIN A4 Einband,1021,1
1x grüner Schnellhefter,1015,1
1x hellblauer Umschlag,1060,1
"1x lila (Religion/Ethik),",1055,1
1x lila Schnellhefter,1055,1
1x oranger DIN A4 Einband,1021,1
1x oranger Einband für das Vokabelheft,0,0
1x oranger Schnellhefter,1015,1
1x rot (Deutsch),1021,1
1x roter Schnellhefter,1015,1
1x roter Umschlag,1021,1
1x schwarz (Musik),1054,1
1x schwarzer DIN A4 Einband,1024,1
1x schwarzer Schnellhefter,1015,1
1x stapelbare Ablage,0,0
1x wasserlo ̈slicher Folienstift,0,0
1x weiß (Leistungsnachweise),1052,1
1x weißer DIN A4 Einband,1021,1
1x weißer Schnellhefter,1015,1
2	dicke	Bleistifte,1004,2
2	dicke	Dreikantbleistifte,1004,2
"2 Bleis4,e",1004,2
2 Bleistifte,1004,2
"2 Borstenpinsel (Nr. 4, 8)",1010,2
2 Borstenpinsel (Nr. 8 und 12),1010,2
"2 Eckspannmappen DIN A4 (Postmappe, Sammelmappe)",0,0
"2 Einlegemappen (1x Postmappe, 1x Farbe nach Wahl)",0,0
"2 Geschichtenhefte DIN A 5, quer",0,0
2 Haarpinsel (Nr. 6 und 10),1047,2
2 Hefte Nr. 25,1042,2
2 Klarsichtfolien,0,0
"2 Klebes4,e",0,0
2 Klebestifte,0,0
2 Klebestifte (ohne Glitzer und Farbe),0,0
"2 Klebestifte, 40g, farblos (Uhu oder Pritt)",0,0
"2 Schreibhefte DIN A5, Lineatur 1",1034,2
"2 dünne Bleistifte (weich, HB)",1004,2
2 gelbe Umschläge DIN A4,1024,2
2 große Klebestifte,0,0
"2 gute Radiergummi (keine Knete, Tierchen,etc.)",0,0
2 rote Umschläge (Beschriftung: Deutsch),0,0
2 x DIN A4,1001,2
"20 karierte Blätter ohne Rand in einem weißen Schnellhefter, 1 Musikheft",0,0
27),0,0
"2x	dicke,	weiche	Bleistifte		(am	besten	Dreiecksform	mit	Griffhilfe)",0,0
2x blauer DIN A4 Einband,1021,2
2x durchsichtiger Umschlag,0,0
2x roter DIN A4 Einband,1021,2
"3	Borstenpinsel	(Nr.	8,	12,	20)",1010,3
"3 Bleistifte (3x dick, je dreikant)",1005,3
3 Bleistifte HB+2B+4B; 1 Fineliner schwarz (z.B. Stabilo); Holzbuntstifte,1054,3
"3 Borstenpinsel (Nummer 6, 12, 18)",1010,3
"3 Borstenpinsel (dünn, mi%el, dick)",1010,3
3 Borstenpinsel 4/8/12,1010,3
"3 Borstenpinsel, Nr. 4, 8, 12",1010,3
3 Haargummis (bei langen Haaren),0,0
"3 Haarpinsel, Nr. 4, 6, 10",1047,3
3 Rechenhefte DIN A4 / Lineatur 28 mit zwei Rändern pro Seite - 1 Umschlag: blau,0,0
3 rote Heftumschläge DIN A4,1059,3
"30 cm langes, durchsichtiges Lineal",1038,30
3637015494 (wenn nicht schon in Klasse 9 geschehen),0,0
4	Prospekthüllen	(Bitte	in	jeden	Schnellhefter	eine	Prospekthülle	heften.),0,0
"4	Schnellhefter	(rot,	blau,	grün,	orange)",1016,1
"4	Schnellhefter	(rot,	blau,	grün,	orange)",1015,1
"4	Schnellhefter	(rot,	blau,	grün,	orange)",1017,1
"4	Schnellhefter	(rot,	blau,	grün,	orange)",1015,1
"4 Fineliner in rot, blau, grün, schwarz",1021,4
4190-9,0,0
5€ Kopierpapier (bi%e im Umschlag mit Namen,0,0
"6 Papp-Schnellhefter in rot, grün, blau, gelb, lila, weiß",1016,1
"6 Papp-Schnellhefter in rot, grün, blau, gelb, lila, weiß",1015,1
"6 Papp-Schnellhefter in rot, grün, blau, gelb, lila, weiß",1017,1
"6 Papp-Schnellhefter in rot, grün, blau, gelb, lila, weiß",1015,1
"6 Papp-Schnellhefter in rot, grün, blau, gelb, lila, weiß",1046,1
"6 Papp-Schnellhefter in rot, grün, blau, gelb, lila, weiß",1055,1
"6 Schnellhefter DIN A 4 aus Pappe in rot, blau, grün, weiß, orange, schwarz",1016,1
"6 Schnellhefter DIN A 4 aus Pappe in rot, blau, grün, weiß, orange, schwarz",1015,1
"6 Schnellhefter DIN A 4 aus Pappe in rot, blau, grün, weiß, orange, schwarz",1017,1
"6 Schnellhefter DIN A 4 aus Pappe in rot, blau, grün, weiß, orange, schwarz",1046,1
"6 Schnellhefter DIN A 4 aus Pappe in rot, blau, grün, weiß, orange, schwarz",1054,1
"6 Schnellhefter DIN A 4 aus Pappe in rot, blau, grün, weiß, orange, schwarz",1015,1
"6 dicke / Jumbo Buntstifte in gelb, rot, blau, grün, braun, schwarz",1021,6
6 dicke Buntstifte (z.B. Kiddi-Elefant oder Lyra – am besten bruchsicher),0,0
"7 Schnellhefter - gelb (Deutsch), blau (Mathe), grün (Sachunterricht), weiß (Religion), schwarz",1015,1
"7 Schnellhefter - gelb (Deutsch), blau (Mathe), grün (Sachunterricht), weiß (Religion), schwarz",1017,1
"7 Schnellhefter - gelb (Deutsch), blau (Mathe), grün (Sachunterricht), weiß (Religion), schwarz",1015,1
"7 Schnellhefter - gelb (Deutsch), blau (Mathe), grün (Sachunterricht), weiß (Religion), schwarz",1046,1
"7 Schnellhefter - gelb (Deutsch), blau (Mathe), grün (Sachunterricht), weiß (Religion), schwarz",1054,1
"8 Schreibhefte DIN A4 / Lineatur 2 - 7 Umschläge: gelb (Deutsch), orange (Merkheft),",1002,8
8 Wachsmalstifte,0,0
92546 Schmidgaden,0,0
978-3-12-521062-2,0,0
978-3-14-040821-9 (Ausgabe Bayern),0,0
A 4 (Lineatur 27),1044,1
AES,0,0
Abkleben	von	Ohrsteckern	mit.,0,0
Alle Materialien sind in den örtlichen Geschäften,0,0
Alles andere: nach Absprache mit den jeweiligen Lehrer(inenn).,0,0
"Alleskleber (z.B. UHU), Klebestift, 3 Bleistifte HB+2B+4B; 1 Fineliner schwarz",1054,1
Allgemein,0,0
Allgemeine Grundausstattung:,0,0
Allgemeines Ein	Federmäppchen	mit:,0,0
Alter Postweg 10 - 69 151 Neckargemünd –   (06223) 922 50    sekretariat.rs@verwaltung.sz-ngd.de,1059,1
Am 1. Schultag nach den,0,0
Ansage der Lehrkraft; Material in kleinem verschließbaren Mäppchen mit,0,0
Anschaffung eines zweisprachigen Wörterbuches + Empfehlung: Anschaffung,0,0
Anspitzer für 2 Stiftgrößen mit Behälter,0,0
Anzahl Material Größe Umschlag Verwendungszweck,0,0
Arbeitsheft,0,0
Arbeitsheft 1,0,0
Arbeitsheft Taschenrechner ab 9. Klasse,0,0
Arbeitshefte (Im Buchladen oder Schreibwarengeschäft besorgen!),0,0
Arbeitshefte:,0,0
Art/Anzahl →,0,0
Auch das Frühstück lässt sich in wiederverwendbare Behälter einpacken.,0,0
"Audios online, ISBN 978-3-06-121948-2",1038,1
Auf Vollständigkeit überprüfen und ggf. ergänzen,0,0
Aufbewahrungsbeutel mit,0,0
Aus der Grundschule kennen die meisten Kinder eine Elternpostmappe um,0,0
Außerdem:,0,0
Außerdem: Hausschuhe (mit Namen beschriften),0,0
"B2, 1 Sammelmappe DIN A3, Holzfarbstift und Filzstifte (Im",0,0
Badehose sowie eine Badekappe für den Schwimmunterricht benötigen. Genauere,0,0
Badekappe	aus	Gummi,0,0
Bastelmäppchen,0,0
Bastelmäppchen mit:Mäppchen mit:,0,0
Bastelsachen/ Kunstunterricht,0,0
Bastelschere,1020,1
Bayern),0,0
Bayern) ISBN 978-3-14-040823-3,0,0
Bedarf für technisches Zeichnen (Absprache am Anfang des,0,0
Beschriften Sie die Arbeitsbücher,0,0
Beschriftung von Name und Klasse (keine Schuhkartons).,1059,1
Beschriftungen: Beschriftungen:,0,0
Bibel Einheitsübersetzung 2016,0,0
Biologie,0,0
Biologie   dunkelgrün DIN A4 (kariert,1001,1
Bitte	beschriften	Sie	 alle 	Schulsachen	in	Druckschrift	und	gut,0,0
Bitte	beschriften	Sie	jeden	einzelnen	Gegenstand	auf	dieser	Liste	gut	sichtbar	mit	dem	Namen,0,0
Bitte 	 beschriften	Sie	jedes	Teil	mit	Namen 	und	bringen	Sie	alle	Materialien	zum	ersten,0,0
"Bitte Farbkasten, Pinsel, Wasserbehälter, Wachsmaler, Knete und 1 Klebestift  in",0,0
"Bitte beschrifte mit deinen Eltern alle deine Sachen mit deinem Vor-, Nachnamen und",0,0
Bitte beschriften Sie ALLES mit dem Namen Ihres Kindes!,0,0
"Bitte beschriften Sie alle Materialien (Bleistifte, Buntstifte, Malkasten, Sportsäck-",0,0
"Bitte denken Sie daran,",0,0
"Bitte denken Sie daran, auch die Arbeitsmittel der Schulbuchliste rechtzeitig zu",0,0
Bitte geben Sie Ihrem Kind in den ersten zwei Wochen nach den Sommerferien 10€ 10€,0,0
Bitte geben Sie Ihren Kindern alle Hefte und Arbeitshefte bereits am ersten Schultag mit.,0,0
Bitte keine Selbstklebefolie zum Einbinden der Bücher benutzen,0,0
Bitte nutzen Sie diesen Service!,0,0
Bitte stecken Sie alle (Arbeits-) Hefte in die zugehörigen,0,0
Bitte versehen Sie alle Materialien mit dem Namen Ihres Kindes.,0,0
Bitte versehen Sie alle Materialien mit dem Vor- und Nachnamen Ihres Kindes! (Hefte auf der,0,0
"Bitte versehen Sie alle Sachen (auch Stifte, Anspitzer, Mappen, Sportschuhe, ...) mit dem",0,0
Bitte wenden,0,0
Bitte überprüfen Sie die vorhandenen Materialien auf Vollständigkeit. Alle gut,0,0
Blanko ohne Rand (20),1056,1
Blätter herausnehmen)!,0,0
Blättern (Lineatur 27) oder 1 Heft DIN,1044,1
Blättern (Lineatur 27) oder 2 Hefte DIN,1044,1
Blättern -befindet sich evtl. noch in,0,0
Borsten,0,0
"Borstenpinsel (4, 8, 18)",1010,1
"Braun1   1    (Holz-) Malstifte: Grün, Braun, Blau, Rot, Gelb, Schwarz",1021,1
"Braun1   1    6 (Holz-) Malstifte: Grün, Braun, Blau, Rot, Gelb, Schwarz; Schere,",1021,1
"Braun1   1   6 (Holz-) Malstifte: Grün, Braun, Blau, Rot, Gelb, Schwarz; Schere, Klebestift;",1016,1
"Braun1   1   Alternativ: Ordner/Schnellhefter; 6 (Holz-) Malstifte: Grün, Braun, Blau, Rot,",1016,1
"Braun1   1   Alternativ: Ordner/Schnellhefter; 6 (Holz-) Malstifte: Grün, Braun, Blau, Rot,",1015,1
"Braun1   1   Alternativ: Ordner/Schnellhefter; 6 (Holz-) Malstifte: Grün, Braun, Blau, Rot,",1017,1
"Bücher von der Schulbuchausleihe beno ̈tigen einen Schutzumschlag mit dem Namen Ihres Kindes, ebenfalls in",0,0
Chemie,0,0
DIN A4 - Schreibblock,1024,1
DIN A4 Hefte  Alle Hefte ohne Rand!,1001,1
DIN A5 Hefte  Alle Hefte ohne Rand!,1039,1
"Da es uns ein wichtiges Anliegen ist, das Umweltbewusstsein unserer Kinder zu fördern, möchten",0,0
Dadurch	erleichtern	Sie	Ihrem	Kind	den	Schulalltag.,0,0
"Damit Sie in Ruhe die Arbeitsmaterialien für das 2. Schuljahr besorgen können, haben wir",0,0
"Damit wir nächstes Jahr gleich loslegen können, findest du hier alles, was du brauchst.",0,0
Das	Wichtigste	vorweg:,0,0
"Deckfarbenkasten mit 12 Farben, Deckweiß",1058,1
Deckfarbkasten 12 Farben (gern Pelikan) leere Farben auffüllen,1058,1
"Deckfarbkasten,	12	Farben+Deckweiß",1058,1
Deine Lehrerinnen,0,0
Deutsch,1002,1
Deutsch      rot,1021,1
"Deutsch 1	Oxford	Schreiblernheft	DIN	A4	quer,	Lineatur	SL",0,0
Deutsch 2x Heft DIN A4 liniert mit Rand,1042,2
"Deutsch 3 Hefte DIN A4 (liniert, mit Doppeland)",1042,1
Deutsch :,1002,1
Deutsch Die Hefte oder Mappen können weitergeführt werden!,0,0
Deutsch:,1002,1
Die	Schule	besorgt	außerdem	für	jedes	Kind	ein	einheitliches	Hausaufgabenheft	(der,0,0
Die Anschaﬀung eines Füllers Füllers werden wir am 1. Elternabend im neuen Schuljahr thematisieren.,0,0
Die Fachlehrer werden zu Beginn des neuen Schuljahres das für ihren Unterricht benötigte,0,0
Die FachlehrerInnen,0,0
"Die Stifte und Arbeitsmaterialien sollten eine Markierung haben,",0,0
Die Umschläge und Ordner für die einzelnen Fächer sollen die Farben wie in der Tabelle,0,0
Diese Materialien müssen (falls noch nicht vorhanden) von allen Eltern besorgt werden!,0,0
"Diesterweg-Verlag, ISBN 978-3-14-104011-1        27,25 €",0,0
Dosenspitzer,0,0
Dosenspitzer mit Beha ̈lter,0,0
Druckbuchstaben.,0,0
"Dunkelblau1  2    1 Zirkel, Geodreieck",0,0
Dunkelblau1  2   1 Zirkel; Geodreieck,0,0
E-Mai: sekretariat@mittelschule-Schmidgaden.de,0,0
EG 1 Schnellhefter rosa; Schürze; 20 € Kochgeld,0,0
Eigene E-Mailadresse zur Nutzung digitaler Lernangebote,0,0
Eigene E-Mailadresse zur Nutzung digitaler Lernangebote (Die Verwaltung der E -Mailadresse kann zunächst,0,0
Ein	Schlampermäppchen	mit:,0,0
"Elternabend	(Montag,	den	14.09.2026)	mit,	damit	alles	eingeräumt	werden	kann.",0,0
"Elternpostmappe wird auch in Klasse 6 benötigt. Material und Farbe beliebig, bzw.",0,0
Englisch,0,0
Englisch     hellblau 2 x DIN A4,1060,2
Englisch 1x Heft DIN A4 liniert mit Rand,1042,1
"Englisch 3 Hefte DIN A4 (liniert, Doppelrand)",1044,1
Englisch Die Hefte oder Mappen können weitergeführt werden!,0,0
Es gibt die Möglichkeit einer,0,0
Es sollte aber alles da sein!,0,0
Ethik,0,0
Ethik - Lila1 1    1,0,0
Ev tl . ein Malhemd,0,0
Fach Deutsch:,1002,1
Fach Englisch:,0,0
Fach Material,0,0
Fach Material Anmerkungen,0,0
Fach Mathematik:,1001,1
Fach/Farbe,0,0
Falken-Grundschule Markt Schwaben,0,0
"Farben – alles außer rot), 1 wasserlöslicher Folienstift (Stärke F, blau oder",1016,1
Federmappe,0,0
Federmäppchen:,0,0
Federtasche,0,0
Federtasche gefüllt:   2 dicke / Jumbo Bleistifte,0,0
Ferien bitte das Zeugnis,0,0
"Filzs4,e",0,0
Filzstifte,0,0
Filzstifte	(dick/dünn),0,0
Flat File,0,0
Folgende	Materialien	braucht	Ihr	Kind	im	ersten	Schuljahr:,0,0
Folgende Materialien müssen wieder eingepackt/ersetzt/neu besorgt werden:,0,0
Französisch,0,0
Frau Wistof,0,0
Fächerüber-,0,0
Für	den	Sportunterricht:,0,0
Für	die	Besorgung	der	Materialien	danken	wir	Ihnen	vielmals!,0,0
Für Deutsch: LIN 3,1002,1
Für Frau Harkcoms Klasse gilt:,0,0
Für HSU: LIN 3,1036,1
Für Kunst: (Gut erhaltene Materialien aus der 2. Klasse können weiterverwendet werden),0,0
Für Mathematik:,1001,1
Für Musik:,0,0
"Für alle Klassen: Füller, Lineal, Bleistift, Farbstifte, Kleber, Schere",1034,1
"GPG 1 Hefte DIN A4 (kariert, Doppelrand)",0,0
GPG 1x Heft DIN A4 liniert mit Rand,1042,1
GPG Die Hefte oder Mappen können weitergeführt werden!,0,0
"Geben	Sie	Ihrem	Kind	bei	Bedarf	ein	Brillenetui,	Haargummi	oder	Pﬂaster	zum",0,0
Geben Sie alle Materialien bitte mit dem Namen beschriftet am ersten Schultag,0,0
"Gelb, Schwarz; Schere, Klebestift; Geodreieck",1053,1
