"raw_line","product","amount"
"2 gute Radiergummi keine Knete Tierchen etc","0","0"
"Lineal 15 cm lang durchsichtig aus festem Material","1031","1"
"nicht biegsam","0","0"
"keine Filzstifte","1032","1"
"1x DIN A4 Schreibheft Lineatur 1 mit farbigen","0","0"
"Kontrastlinien","1031","1"
"1x DIN A4 roter Umschlag","1021","1"
"1x Schreiblernheft Lineatur SL farbige Kontrastlineatur DIN A4","1031","1"
"1x DIN A4 Rechenheft ohne Rand","1001","1"
"Lineatur 7","1002","1"
"1x DIN A4 Umschlag blau","1023","1"
"Mein Anoki U bungsheft DIN A4","1048","1"
"Ziffernschreibkurs 1 Klett Verlag","0","0"
"ISBN 978 3 12 162105 7","0","0"
"Mathematik","1001","1"
"1x DIN A3 Zeichenblock","1014","1"
"Deckfarbenkasten mit 12 Farben Deckweiß","1009","1"
"Wasserbecher","1094","1"
"kleines Schwa mmchen Lappen Spu ltuch","0","0"
"Malkittel z B altes Herrenhemd etc","0","0"
"2 Borstenpinsel Nr 8 und 12","1010","2"
"2 Haarpinsel Nr 6 und 10","1047","2"
"dreikantige Wachsmalstifte 8 Stu ck ohne","0","0"
"Plastikumhu llung um jeden Stift","0","0"
"1 x Malblock DIN A4 unliniert nicht gelocht","1031","1"
"1 x Set mit bunten Knete Stangen","0","0"
"Kunst","0","0"
"Sport","0","0"
"Sportbeutel mit folgendem Inhalt","0","0"
"Sporthose T Shirt feste","0","0"
"Turnschuhe mit abriebfester oder","0","0"
"weißer Sohle keine Schla ppchen","0","0"
"Aufbewahrungsbeutel mit","0","0"
"Haargummis bei langen Haaren","0","0"
"bitte beschriften Sie ALLE Materialien auch Stifte Sportbeutel bereits mit dem Namen Ihres","0","0"
"Kindes in DRUCKBUCHSTABEN Bu cher und Hefte bitte immer vorne in der oberen rechten Ecke DIN A4","1054","1"
"Umschlag Bu cher von der Schulbuchausleihe beno tigen einen Schutzumschlag mit dem Namen Ihres Kindes ebenfalls in DIN A4","1060","1"
"der oberen rechten Ecke","0","0"
"Materialliste für das 1 Schuljahr","1070","1"
"Bastelmäppchen mit Mäppchen mit","0","0"
"abgerundete Bastelschere","1020","1"
"2 große Klebestifte","0","0"
"Dosenspitzer mit Beha lter","0","0"
"1x wasserlo slicher Folienstift","0","0"
"Deutsch","1002","1"
"blau oder","1003","1"
"schwarz","1054","1"
"fu r du nne und","0","0"
"dicke Stifte","1065","1"
"gibt es auch fu r","0","0"
"Linksha nder","0","0"
"kein Flu ssigkleber","0","0"
"nicht farbig","1073","1"
"Klasse 1e","1001","1"
"Viele Grüße","0","0"
"Frau Wistof","0","0"
"Materialliste Klasse 2","0","0"
"Folgende Materialien müssen wieder eingepackt ersetzt neu besorgt werden","0","0"
"Mäppchen mit","0","0"
"3x Bleistift","1004","3"
"1x Radiergummi","1006","1"
"1x Lineal 15 cm","1091","1"
"1x Dosenspitzer","0","0"
"1x Bastelschere spitz","1020","1"
"3x Klebestift","1066","3"
"Buntstifte in 12 Farben","1005","1"
"1x Folienstift non permanent","0","0"
"1x Textmarker oder Textmarker Buntstift Farbe egal","0","0"
"Schnellhefter in folgenden Farben rot Deutsch blau Mathe grün Sachunterricht DIN A4","1016","1"
"grau Lernzielkontrolle orange Religion Praktische Philosophie schwarz gelb","0","0"
"Eckspannmappe gelber Eckspanner Postmappe","0","0"
"Kieser Schreibblock Lineatur 2","1002","1"
"1x Geschichtenheft DIN A4 Lineatur 2G z B von Oxford","1031","1"
"3x Schreibheft DIN A4 Lineatur 2","1002","3"
"1x Rechenheft DIN A4 Lineatur 7","0","0"
"1x Ölpastellkreide 12er Set z B von Jaxon","0","0"
"1x Deckfarbkasten mit 24 Farben","1009","1"
"1x Wasserbecher Wasserbox","1094","1"
"1x alter Lappen zum Abtrocknen des Wasserbechers","0","0"
"1x Malkittel altes T Shirt","0","0"
"1x Zeichenblock DIN A3","1014","1"
"1x Malblock DIN A4","1001","1"
"1x Sammelmappe DIN A3 vorhandenen wieder mitgeben","1096","1"
"Pinsel Borsten und Haarpinsel in verschiedenen Größen","1047","1"
"1x Hausschuhe für die Klasse","0","0"
"1x Sportbeutel mit Sporthose T Shirt und Turnschuhen bitte keine","0","0"
"Turnschläppchen","0","0"
"Im Laufe des Schuljahres werden die Kinder noch einen Füller und einen Badeanzug eine","0","0"
"Badehose sowie eine Badekappe für den Schwimmunterricht benötigen Genauere","0","0"
"Informationen erhalten Sie hierzu auf dem 1 Elternabend im neuen Schuljahr","0","0"
"Geben Sie alle Materialien bitte mit dem Namen beschriftet am ersten Schultag","0","0"
"27 08 2025 in die Schule mit","1004","27"
"Deutsch 1 Oxford Schreiblernheft DIN A4 quer Lineatur SL","1002","1"
"1 Umschlag transparent DIN A4","1062","1"
"1 Schreibheft DIN A4 Nr 1 Lineatur Kl 1 farbig hinterlegt","1002","1"
"1 Umschlag rot DIN A4","1021","1"
"1 roter Schnellhefter aus Pappe DIN A4","1015","1"
"Mathe Lineatur 1 DIN A4 Rechenheft Nr 7","0","0"
"1 Umschlag blau DIN A4","1023","1"
"1 blauer Schnellhefter aus Pappe DIN A4","1015","1"
"1 Prospekthülle bitte mit Namen beschriften und im Schnellhefter DIN A4","1015","1"
"abheften DIN A4","1074","1"
"Sachunterricht Lineatur 1 grüner Schnellhefter aus Pappe DIN A4","1016","1"
"Musik Lineatur 1 oranger Schnellhefter aus Pappe DIN A4","1015","1"
"Religion Lineatur 1 weißer Schnellhefter aus Pappe DIN A4","1046","1"
"Allgemeines Ein Federmäppchen mit","1065","1"
"1 Silbenstift dick rot blau","0","0"
"2 dicke Bleistifte","1018","2"
"ca 12 dicke Holzfarben","0","0"
"Radiergummi","1006","1"
"kleines Lineal 15 cm","1091","1"
"abwischbarer Folienstift non permanent M schwarz","0","0"
"Ein Schlampermäppchen mit","0","0"
"Bastelschere","1020","1"
"Klebestift bitte keine farbigen Klebestifte","0","0"
"Dosenspitzer","0","0"
"Sammelmappe DIN A4 Eckspanner Farbe frei wählbar","1052","1"
"Hausschuhe","0","0"
"Schreibblock DIN A4 Lineatur Kl 1 farbig hinterlegt z B Kieser Block 01","1042","1"
"Materialliste Klasse 1","0","0"
"Kunst 1 Zeichenblock DIN A3 Blätter beidseitig befestigt","1014","1"
"1 Stofftasche mit","0","0"
"3 Borstenpinsel Nr 8 12 20","1010","3"
"Wachsmalstifte z B Jaxonkreide 12 Stück","1067","12"
"Wasserfarbenkasten","0","0"
"Malerkittel z B altes Hemd","0","0"
"1 kleiner Lappen zum Abtupfen","0","0"
"Sport Sporttasche mit Sporthose T Shirt und Turnschuhe mit abriebfester","0","0"
"Sohle","0","0"
"Haargummi bei langen Haaren","0","0"
"Schwimmen Tasche mit Badehose Badeanzug und Handtuch","0","0"
"Badekappe aus Gummi","0","0"
"Bitte beschriften Sie jedes Teil mit Namen und bringen Sie alle Materialien zum ersten","0","0"
"Elternabend Montag den 14 09 2026 mit damit alles eingeräumt werden kann","0","0"
"Vielen Dank","0","0"
"Materialliste für das 1 Schuljahr","1070","1"
"Deutsch","1002","1"
"1x Schnellhefter Deutsch rot DIN A4","1016","1"
"1x Schreiblernheft DIN A4 quer Lineatur SL","1002","1"
"1x Schreibheft DIN A5 Lineatur 0","1033","1"
"1x Schreibheft DIN A4 Lineatur 1","0","0"
"1x Blankoheft ohne Linien DIN A5","1034","1"
"Mathe","0","0"
"1x Schnellhefter Mathematik blau DIN A4","1015","1"
"1x Zahlenlernheft DIN A4 quer Lineatur ZL","1002","1"
"1x Rechenheft DIN A5 Lineatur R große Kästchen","1034","1"
"Sachunterricht Musik Religion","0","0"
"1x Schnellhefter Sachunterricht grün DIN A4","1017","1"
"1x Schnellhefter Musik gelb DIN A4","0","0"
"1x Schnellhefter Religion weiß DIN A4","1046","1"
"1x Schnellhefter Lernstandsanalysen orange DIN A4","0","0"
"1x Malblock DIN A4 einfache Qualität","1060","1"
"1x Zeichenblock DIN A4","1032","1"
"1x DIN A3 Sammelmappe","1096","1"
"Deckfarbkasten 12 Farben Deckweiß","1009","1"
"Wasserbehälter eventuell zum Befestigen","0","0"
"Pinselset Borsten Haarpinsel","0","0"
"Malkittel oder altes Hemd","0","0"
"Lappen","0","0"
"10 12 Wachsmalstifte","1067","10"
"1 Dose Knete","0","0"
"Tischset abwaschbar als Mal und Kentunterlage min DIN A3 groß","1096","1"
"Seite 1 von 2","0","0"
"Das Wichtigste vorweg","0","0"
"Bitte beschriften Sie jeden einzelnen Gegenstand auf dieser Liste gut sichtbar mit dem Namen","0","0"
"Ihres Kindes Auch alle Bücher von der Schulbuchliste müssen außen auf dem Deckblatt mit","0","0"
"dem Namen versehen werden","0","0"
"Folgende Materialien braucht Ihr Kind im ersten Schuljahr","0","0"
"Turntasche","0","0"
"Sportbekleidung Hose T Shirt","0","0"
"Turnschuhe mit heller Sohle Bitte Schuhe besorgen die ihr Kind selbstständig","0","0"
"anziehen kann","0","0"
"ggf Haargummi","0","0"
"1x Eckspannmappe gelbe Postmappe Eckspanner","0","0"
"1x Hausschuhe","0","0"
"1x Wechselkleidung","0","0"
"Mäppchen","0","0"
"dicke Holzbuntstifte am besten Dreiecksform mit Griffhilfe","0","0"
"2x dicke weiche Bleistifte am besten Dreiecksform mit Griffhilfe","0","0"
"1x Spitzer mit Auffangbehälter","0","0"
"1x Radiergummi","1006","1"
"Filzstifte dick dünn","1032","1"
"1x Schere Achtung Extrascheren bei Linkshänder","1034","1"
"1x Klebestift bitte keine bunten Klebestifte kaufen und keinen Flüssigkleber","0","0"
"","0","0"
"Schere Kleber und Filzstifte können in einem anderen Mäppchen z B","0","0"
"Schlampermäppchen","0","0"
"Die Schule besorgt außerdem für jedes Kind ein einheitliches Hausaufgabenheft der DIN A4","1054","1"
"Kostenbeitrag von 2 wird über die Klassenkasse bezahlt","0","0"
"Für die Besorgung der Materialien danken wir Ihnen vielmals","0","0"
"Dadurch erleichtern Sie Ihrem Kind den Schulalltag","0","0"
"Seite 2 von 2","1094","1"
"Mittelschule Schmidgaden","0","0"
"Schulstraße 1","0","0"
"92546 Schmidgaden","0","0"
"Tel 09435 2546","0","0"
"E Mai sekretariat mittelschule Schmidgaden de","0","0"
"Homepage www mittelschule schmidgaden de","0","0"
"Materialliste für die 5 Klasse","0","0"
"Fach Material","0","0"
"Deutsch Lineatur 3 Hefte DIN A4 liniert mit Doppeland","0","0"
"3 rote Heftumschläge DIN A4","1001","3"
"1 roter Schnellhefter DIN A4","1015","1"
"Mathematik Lineatur 3 Hefte DIN A4 kariert mit Doppelrand","0","0"
"1 hellblauer und 1 dunkelblauer Umschlag DIN A4","1021","1"
"1 Zirkel 1 Geodreieck 1 langes Lineal 1 Druckbleistift","1038","1"
"Englisch Lineatur 3 Hefte DIN A4 liniert mit Doppelrand","0","0"
"2 gelbe Umschläge DIN A4","1021","2"
"1 Schnellhefter gelb DIN A4","0","0"
"GPG Lineatur 1 Hefte DIN A4 kariert mit Doppelrand","0","0"
"1 Umschlag braun DIN A4","1021","1"
"1 Schnellhefter braun DIN A4","1015","1"
"NT Lineatur 1 Hefte DIN A4 kariert mit Doppelrand","0","0"
"1 Umschlag grün DIN A4","1022","1"
"1 Schnellhefter grün DIN A4","1017","1"
"WiB Lineatur 1 Heft DIN A4 kariert mit Doppelrand","0","0"
"1 Umschlag schwarz DIN A4","0","0"
"1 Schnellhefter schwarz DIN A4","1054","1"
"Kunst 1 Zeichenblock DIN A3 1 Deckfarbenkasten Borstenpinsel und","1014","1"
"Haarpinsel in verschiedenen Stärken 1 Zeichenbleistift B3 oder","0","0"
"B2 1 Sammelmappe DIN A3 Holzfarbstift und Filzstifte Im","1096","1"
"Mäppchen 1 schwarzer Fineliner 1 standfester Malbecher kein","1038","1"
"Glas abgerundete Schere Klebestift 1 Küchenpapierrolle 1","0","0"
"Mallappen Lineatur 1 Schnellhefter Karton oder Box zur Aufbewahrung DIN A4","1015","1"
"Religion Lineatur 1 Schnellhefter weiß DIN A4","1046","1"
"Informatik Lineatur 1 Schnellhefter orange DIN A4","0","0"
"WG Material wird von Lehrkraft besorgt","0","0"
"Sonstiges Lineatur 1 Hausaufgabenheft Umschlag transparent DIN A4","1062","1"
"1 Lineatur Collegeblock DIN A4","1002","1"
"1 kar Collegeblock DIN A4","1013","1"
"Wichtig Bitte prüft was vom Vorjahr noch brauchbar ist Nicht alles muss","0","0"
"neu angeschafft werden","0","0"
"Die Stifte und Arbeitsmaterialien sollten eine Markierung haben","0","0"
"woran du sie wiedererkennst","0","0"
"Bitte keine Selbstklebefolie zum Einbinden der Bücher benutzen","0","0"
"und den Einband bitte nicht am Buchdeckel festkleben DIN A4","1061","1"
"Materiallisten für die 6 Klasse","0","0"
"Eckspannmappe Deutsch Die Hefte oder Mappen können weitergeführt werden DIN A4","1031","1"
"Eckspannmappe Mathematik Die Hefte oder Mappen können weitergeführt werden DIN A4","1059","1"
"Eckspannmappe Englisch Die Hefte oder Mappen können weitergeführt werden DIN A4","1046","1"
"Eckspannmappe GPG Die Hefte oder Mappen können weitergeführt werden DIN A4","1079","1"
"Eckspannmappe NT Die Hefte oder Mappen können weitergeführt werden DIN A4","1044","1"
"Eckspannmappe WiB Die Hefte oder Mappen können weitergeführt werden DIN A4","1044","1"
"Eckspannmappe Kunst Die Hefte oder Mappen können weitergeführt werden DIN A4","1054","1"
"Eckspannmappe Religion Die Hefte oder Mappen können weitergeführt werden DIN A4","1044","1"
"Eckspannmappe Info Die Hefte oder Mappen können weitergeführt werden DIN A4","1044","1"
"Eckspannmappe WG Die Hefte oder Mappen können weitergeführt werden DIN A4","1079","1"
"Materialliste Klasse 7","0","0"
"Deutsch 2x Heft DIN A4 liniert mit Rand","1042","2"
"2x roter DIN A4 Einband","1021","2"
"1x roter Schnellhefter DIN A4","1015","1"
"Englisch 1x Heft DIN A4 liniert mit Rand","1042","1"
"1x oranger DIN A4 Einband","1021","1"
"1x oranger Schnellhefter DIN A4","1015","1"
"1x Vokabelheft DIN A4","1064","1"
"1x oranger Einband für das Vokabelheft DIN A4","1064","1"
"Mathe 2x Heft DIN A4 kariert mit Rand","1043","2"
"2x blauer DIN A4 Einband","1021","2"
"1x blauer Schnellhefter DIN A4","1015","1"
"GPG 1x Heft DIN A4 liniert mit Rand","1042","1"
"1x schwarzer DIN A4 Einband","1021","1"
"1x schwarzer Schnellhefter DIN A4","1015","1"
"NT 1x Heft DIN A4 liniert mit Rand","1042","1"
"1x grüner DIN A4 Einband","1021","1"
"1x grüner Schnellhefter DIN A4","1015","1"
"WiB 1x Heft DIN A4 liniert mit Rand","1042","1"
"1x weißer DIN A4 Einband","1021","1"
"1x weißer Schnellhefter DIN A4","1015","1"
"Ku 1x Zeichenblock DIN A3","1014","1"
"1x lila Schnellhefter DIN A4","1055","1"
"Religion 1x braunen Schnellhefter DIN A4","1015","1"
"Wirtschaft Lineatur 1 Schnellhefter DIN A4","1015","1"
"1 Klarsichtfolie","0","0"
"Soziales Schürze","0","0"
"Schnellhefter DIN A4","1015","1"
"2 Klarsichtfolien","0","0"
"15 Kochgeld","0","0"
"Technik Lineatur 1 lila Schnellhefter DIN A4","1055","1"
"Materialgeld 15","0","0"
"Materiallisten für die 8 Klasse","0","0"
"Eckspannmappe WiK Die Hefte oder Mappen können weitergeführt werden DIN A4","1079","1"
"EG Lineatur 1 Schnellhefter rosa Schürze 20 Kochgeld DIN A4","1015","1"
"Technik 8 Klasse","1090","1"
"1 kariertes Heft DIN A4 mit Doppelrand","1045","1"
"1 Schnellhefter grau DIN A4","1015","1"
"Bedarf für technisches Zeichnen Absprache am Anfang des","0","0"
"Schuljahres mit dem Fachlehrer","0","0"
"1 Zeichenplatte DIN A4","1001","1"
"optional Tragtasche","0","0"
"1 Perspekticeck","0","0"
"1 Geodreieck","1011","1"
"1 Lineal 60 30 Winkel","1038","1"
"1 harter Bleistift H oder HB","1004","1"
"1 weicher Bleistift z B 2B","0","0"
"Es gibt die Möglichkeit einer","0","0"
"Sammelbestellung am Schuljahresanfang","0","0"
"Selbstverständlich kann vorhandenes","0","0"
"Material auch eine DIN A3 Zeichenplatte","1096","1"
"benutzt werden","0","0"
"Materialgeld 20","0","0"
"1 Lineatur Collegeblock DIN A4 mit Doppelrand","1044","1"
"1 kar Collegeblock DIN A4 mit Doppelrand","1045","1"
"RS NGD Materialliste für Klasse 10","0","0"
"Materialliste für Klasse 10 Schuljahr 2024 2025","0","0"
"Fach Material Anmerkungen","0","0"
"gelb","1053","1"
"DIN A4 Heft kariert ohne Umschlag","1001","1"
"Leitz Ordner 5 cm breit DIN A4","1072","1"
"Collegeblock kariert","1013","1"
"Geodreieck","1011","1"
"Zirkel","1012","1"
"Parabelschablone","0","0"
"Die FachlehrerInnen","0","0"
"informieren zu","0","0"
"Schuljahresbeginn über","0","0"
"weitere Materialien","0","0"
"Englisch","0","0"
"rot","1016","1"
"DIN A4 Heft liniert","1002","1"
"Vokabelheft DIN A5","1003","1"
"Schnellhefter Hefter DIN A4 für Klassenarbeiten","1015","1"
"Für Frau Harkcoms Klasse gilt","0","0"
"DIN A4 Heft liniert mit","1031","1"
"Rand","1001","1"
"Vokabelheft DIN A5 oder","1003","1"
"Vokabelkartei","0","0"
"Schnellhefter Hefter DIN A4 für","1015","1"
"Klassenarbeiten","1015","1"
"blau","1008","1"
"1 Schnellhefter für Klassenarbeiten mit DIN A4","1015","1"
"ca 15 20 Blättern DIN A4 liniert mit","1031","1"
"Rand Lineatur 27","1002","1"
"1 Schnellhefter DIN A4 mit linierten","1015","1"
"Blättern Lineatur 27 oder 1 Heft DIN DIN A4","1044","1"
"DIN A4 Lineatur 27","1044","1"
"Biologie","0","0"
"helles grün","0","0"
"Schnellhefter Ringbuchordner 2fach gelocht dünn DIN A4","1015","1"
"mit karierten Blättern","1043","1"
"Geographie","0","0"
"orange","0","0"
"Schnellhefter Ringbuchordner DIN A4","1015","1"
"karierte Blätter","1043","1"
"WBS","0","0"
"Heft oder Ordner nicht Schnellhefter DIN A4","1015","1"
"kariert mit Rand","1041","1"
"Gmeinschaftskunde","0","0"
"Schnellhefter Pappschnellhefter oder DIN A4","1015","1"
"Schnellhefter Ringbuchordner DIN A4","1015","1"
"pink","0","0"
"In einem Kasten z B Schuhkarton","1059","1"
"1 Wasserfarbenkasten bevorzugt von","0","0"
"PELIKAN mit großer Tube Deckweiß","0","0"
"","0","0"
"1 Wasserbehälter","0","0"
"1 Lappen","0","0"
"Borstenpinsel Gr 1 2 6 8 16","1010","1"
"ebensolche Haarpinsel","1047","1"
"2 3 Bleistifte in verschiedenen Stärken","1018","2"
"HB 2B","0","0"
"Schwarze Filzstifte einer dick einer","0","0"
"dünn schreibend","0","0"
"Evtl ein Malhemd","0","0"
"Außerdem","0","0"
"1 DIN A3 Block","1014","1"
"Gerne alles vom letzten Jahr","0","0"
"weiterführen aber bitte","0","0"
"kontrollieren säubern und","0","0"
"evtl neu mit Namen","0","0"
"versehen","0","0"
"Es sollte aber alles da sein","0","0"
"1 Schnellhefter mit 15 blanko DIN A4","1015","1"
"Blättern befindet sich evtl noch in","0","0"
"der Schule","1004","1"
"Eckspannmappe Mappe für fertige Kunstwerke","0","0"
"ALLES mit NAMEN BESCHRIFTEN","0","0"
"Musik","1079","1"
"lila","1055","1"
"Schnellhefter mit Lineatur 10 karierten oder DIN A4","1015","1"
"linierten Blättern","1038","1"
"Informatik WF","0","0"
"türkis","0","0"
"Schnellhefter mit DIN A4","1015","1"
"10 karierten Blättern","1043","10"
"Sport angemessene Sportkleidung","0","0"
"Hallenschuhe im Sommer Schuhe fürs","0","0"
"Stadion","0","0"
"Religion ev","0","0"
"dunkles grau","0","0"
"Schnellhefter oder ein Heft DIN A4","1015","1"
"kariert","1001","1"
"Ethik","0","0"
"Schnellhefter DIN A4","1015","1"
"kariertes Papier","1013","1"
"Geschichte","0","0"
"weiß","1024","1"
"Schnellhefter dünner Ringbuchordner DIN A4","1015","1"
"kariertes Papier mit Rand","1013","1"
"AES","0","0"
"helles grau","0","0"
"Ordner dünn bzw schmal mit 2 Ringen DIN A4","1072","1"
"DIN A4 Blätter kariert","1001","1"
"10 Klarsichthüllen","1074","10"
"Technik","1090","1"
"einige Klarsichthüllen","1074","1"
"Karoblätter","0","0"
"Minenbleistifte 3er Set Stärke 0 35","0","0"
"0 5 0 7","1085","0"
"Geo Dreieck s u","1011","1"
"Französisch","0","0"
"DIN A4 Heft liniert mit Doppelrand","1044","1"
"Schnellhefter DIN A4 Schellhefter","1015","1"
"DIN A4 Vokabelheft mit Lineatur 3 Spalten","0","0"
"Physik","0","0"
"braun","0","0"
"Chemie","0","0"
"dunkles grün","0","0"
"Schnellhefter Pappschnellhefter mit DIN A4","1015","1"
"20 karierten Blättern","1043","20"
"In allen Fächern werden die folgenden Materialien benötigt","0","0"
"Mäppchen mit Füller oder ähnlich geeignetem Schreibstift Bleistift Spitzer Radiergummi","0","0"
"Schere Holzbuntstifte Klebestift Geodreieck Bitte immer wieder auf Vollständigkeit","0","0"
"überprüfen vor allem auch zu Schulbeginn nach jeden Ferien","0","0"
"Die Umschläge und Ordner für die einzelnen Fächer sollen die Farben wie in der Tabelle DIN A4","1072","1"
"haben","0","0"
"RS NGD Materialliste für Klasse 6","0","0"
"Alter Postweg 10 69 151 Neckargemünd 06223 922 50 sekretariat rs verwaltung sz ngd de","1041","1"
"Materialliste für Klasse 6 Schuljahr 2026 2027","1070","1"
"DIN A4 Doppelheft kariert","1001","1"
"DIN A4 Heft liniert mit Rand Lineatur","1042","1"
"27","1044","1"
"Regelheft kann vom Vorjahr DIN A4","1044","1"
"weitergeführt werden DIN A4","1001","1"
"Lineatur 27","1044","1"
"Vokabelheft DIN A5 oder DIN A4","1064","1"
"Schnellhefter DIN A4 für","1015","1"
"ca 15 20 Blättern DIN A4 liniert mit","1031","1"
"1 Heft DIN A4 Lineatur 27 1 Schul","1044","1"
"und Hausheft DIN A4","1002","1"
"1 Schnellhefter für Arbeitsblätter DIN A4","1015","1"
"helles grün","0","0"
"Schnellhefter Ringbuch 2fach gelocht dünn mit DIN A4","1015","1"
"karierten Blättern","1043","1"
"1 Schnellhefter mit 15 blanko DIN A4","1015","1"
"Eckspannmappe Mappe für fertige Kunstwerke","0","0"
"Schnellhefter Farbe lila oder nach DIN A4","1055","1"
"Wahl möglich einige karierte Blätter","1043","1"
"Gerne Schnellhefter dünnen Ordner DIN A4","1015","1"
"vom letzten Jahr weiterverwenden","0","0"
"Hallenschuhe und Schuhe fürs Stadion","0","0"
"Religion","0","0"
"dunkles Grau","0","0"
"1 DIN A4 Heft kariert","1001","1"
"Heft kariert mit Rand DIN A4","1043","1"
"Schnellhefter DIN A4 Schellhefter orange","0","0"
"DIN A4 Vokabelheft mit Lineatur 3 Spalten mit","0","0"
"Umschlag orange DIN A4","0","0"
"helles Grau","0","0"
"DIN A4 Blätter kariert","1001","1"
"Schnellhefter oder Ordner DIN A4","1015","1"
"Karierte Blätter","1043","1"
"In allen Fächern werden die folgenden Materialien benötigt","0","0"
"Mäppchen mit Füller oder ähnlich geeignetem Schreibstift Bleistift Spitzer","0","0"
"Radiergummi Schere Holzbuntstifte Klebestift Ge odreieck sowie einem","0","0"
"Textmarker Bitte immer wieder auf Vollständigkeit überprüfen vor allem auch zu","0","0"
"Schulbeginn nach jeden Ferien","0","0"
"Die Umschläge und Ordner für die einzelnen Fächer s ollen die Farben wie in der DIN A4","1072","1"
"Tabelle haben","0","0"
"Eckspannmappe Elternpostmappe","1049","1"
"Eckspannmappe Aus der Grundschule kennen die meisten Kinder eine Elternpostmappe um","0","0"
"wichtige Elternbriefe Klassenarbeiten usw darin aufzubewahren Eine","0","0"
"Eckspannmappe Elternpostmappe wird auch in Klasse 6 benötigt Material und Farbe beliebig bzw","0","0"
"je nach Grundschule wie gewohnt","0","0"
"Das Hausaufgabenheft der Schule muss für Lineatur 6 erworben werden DIN A4","1031","1"
"Materialliste für Klasse 2","1001","1"
"Liebe Eltern der zukünftigen 2 Klässler","0","0"
"Damit Sie in Ruhe die Arbeitsmaterialien für das 2 Schuljahr besorgen können haben wir","0","0"
"Ihnen eine Materialliste erstellt Schnellhefter sowie Umschläge für die Bücher brauchen DIN A4","1015","1"
"Sie nur nach Bedarf neu kaufen bitte aber neu beschriften und bei den Schnellheftern die DIN A4","1046","1"
"Blätter herausnehmen","0","0"
"Herzlichen Dank für Ihre Mitarbeit","0","0"
"Schöne erholsame Ferien und herzliche Grüße","0","0"
"Ihre Kerstin Lilienfein","0","0"
"DIN A5 Hefte Alle Hefte ohne Rand","1039","1"
"2 Schreibhefte Lineatur Nr 2 DIN A4","1002","2"
"2 rote Umschläge Beschriftung Deutsch","0","0"
"1 kariertes Heft Lineatur 07 große Karos DIN A4","0","0"
"1 grüner Umschlag Beschriftung Mathe DIN A4","1021","1"
"DIN A4 Hefte Alle Hefte ohne Rand","1001","1"
